pipeline,mean_accuracy,std_accuracy,mean_f1_macro,std_f1_macro,mean_fit_time,mean_score_time
HOG + scalers + SVM,0.8121130632008358,0.0085787326282325,0.7513953048505979,0.0265471326048828,82.58812928199768,15.72516679763794
HOG + entropie + scalers + SVM,0.8262602630355944,0.0046094191164245,0.7640281865747577,0.0263228415931767,115.86956443786622,23.54310941696167
HOG + canny + scalers + SVM,0.8164975193940093,0.0046373874093923,0.7540125626727214,0.0249583694808836,84.37417736053467,15.81047339439392
HOG + entropie + canny + scalers + SVM,0.8270570757845984,0.0048255478532346,0.7645139616573793,0.0264151696442924,118.5660327911377,23.707883167266846
GLCM + scalers + SVM,0.6023080161904725,0.0121987495125707,0.5018240629974443,0.0126762364480425,76.03627772331238,19.35310277938843
GLCM + entropie + scalers + SVM,0.6837974125432467,0.0118620003271587,0.5736930351608567,0.0135259970795822,104.97853660583496,26.33615961074829
GLCM + canny + scalers + SVM,0.6455428535111796,0.012150230091999,0.554847158530197,0.0115041840778206,90.3000919342041,22.06358766555786
GLCM + entropie + canny + scalers + SVM,0.6814081659404257,0.0112065224762472,0.5916463662388072,0.0091461314214275,117.25433416366576,29.15332775115967
Pixels bruts + scalers + SVM,0.7876074962363904,0.0052309289274327,0.7169324444875589,0.0098659081619769,11.311046361923218,2.8452197551727294
Pixels bruts + entropie + scalers + SVM,0.8087283964838552,0.0061896076449395,0.7482625977276175,0.0222360794889887,45.272875452041625,11.666189289093015
Pixels bruts + canny + scalers + SVM,0.8031485225598105,0.0044591995251686,0.7511330167389311,0.0132088035526829,18.047223234176634,4.841898965835571
Pixels bruts + entropie + canny + scalers + SVM,0.8117162456852551,0.0086893659098138,0.7558290254657715,0.025137514011505,51.309798669815066,13.245119333267212
Pixels bruts + HOG + scalers + SVM,0.8278546829630631,0.0052680455016788,0.7832457420774188,0.0193864476206792,85.47105121612549,20.15124249458313
Pixels bruts + HOG + entropie + scalers + SVM,0.834032563663591,0.0075357570184065,0.7854045585295738,0.0195601894383829,119.94763331413267,25.19510908126831
Pixels bruts + HOG + canny + scalers + SVM,0.827456077981196,0.0049214296115363,0.7827230595897927,0.0189741045554602,94.5232388496399,21.48887629508972
Pixels bruts + HOG + entropie + canny + scalers + SVM,0.8396108487287142,0.0061699840277768,0.785778373373593,0.0210722423793323,132.9656412601471,25.4085659980774
Pixels bruts + GLCM + scalers + SVM,0.8045423490484721,0.0063860366857855,0.7451311792173982,0.0120308352112668,83.17105188369752,20.556913900375367
Pixels bruts + GLCM + entropie + scalers + SVM,0.8143074759784392,0.0073988266849886,0.7570345225415052,0.0191499921307446,121.414386177063,30.886888122558595
Pixels bruts + GLCM + canny + scalers + SVM,0.8135094715852442,0.0064131984852834,0.762901345975022,0.0076681978235918,89.36725306510925,21.934015035629272
Pixels bruts + GLCM + entropie + canny + scalers + SVM,0.8228744046744231,0.0070500004616116,0.7687818600822325,0.0254114048797583,134.7448939323425,34.61727914810181
